outflow 1,outflow 6
62.39,62.39
62.92,61.58
62.96,61.81
62.98,61.44
62.99,60.54
62.97,59.3
62.96,57.94
62.94,56.65
62.91,55.51
62.88,54.52
62.85,53.7
62.82,52.94
62.77,52.14
62.72,51.34
62.66,50.63
62.59,50.17
62.51,50.08
62.41,50.33
62.31,50.67
62.19,50.92
62.06,51.09
61.92,51.2
61.78,51.18
61.62,51.06
61.46,50.82
61.29,50.58
61.12,50.44
60.95,50.37
60.77,50.32
60.6,50.37
60.42,50.56
60.24,50.89
60.07,51.38
59.89,51.97
59.71,52.63
59.54,53.33
59.36,53.98
59.19,54.39
59.03,54.57
58.86,54.63
58.7,54.62
58.55,54.55
58.4,54.47
58.26,54.4
58.13,54.37
58,54.38
57.88,54.47
57.77,54.64
57.66,54.87
57.56,55.12
57.46,55.44
57.37,55.95
57.28,56.72
57.2,57.81
57.13,59.24
57.06,61.2
56.99,63.7
56.93,66.67
56.88,70.19
56.83,74.42
56.8,79.57
56.78,85.9
56.77,93.6
56.79,102.93
56.83,113.95
56.9,126.69
57.01,141.15
57.17,157.38
57.38,175.35
57.66,194.54
58.03,214.91
58.51,236.1
59.12,257.68
59.89,279.32
60.87,301.1
62.13,323.47
63.74,345.42
66.24,366.63
71.36,385.88
77.1,402.9
84.15,417.65
93.22,430.35
104.87,440.63
117.19,448.64
131.04,453.26
146.55,454.27
161.93,452.45
177.8,448.25
194.31,442.51
209.92,433.74
224.86,422.1
239.19,408.09
252.64,393.21
264.6,377.79
275.24,361.84
284.51,346.39
292.36,331.29
298.97,315.77
304.09,298.82
307.85,281.59
310.35,265.54
311.67,251.2
311.9,238
311.13,225.05
309.48,212.78
307.05,200.7
303.94,190.65
300.24,181.74
296.05,172.35
291.46,163.59
286.66,155.32
281.53,148.88
276.17,142.96
270.67,137.51
265.07,132.64
259.41,128.52
253.74,124.13
248.09,120.19
242.49,118
236.97,116.75
231.55,114.36
226.32,111.95
221.32,111.9
216.37,110.5
211.57,107.92
206.92,104.72
202.42,100.96
198.05,97.14
193.81,93.64
189.68,91.18
185.64,88.91
181.69,87.82
177.83,87.08
174.06,86.2
170.48,85.66
167.13,85.67
163.74,85.47
160.45,84.66
157.27,83.43
154.2,82.46
151.22,81.8
148.36,81.08
145.59,80.17
142.91,79.57
140.34,78.97
137.86,77.97
135.46,76.45
133.14,74.94
130.89,73.68
128.72,72.81
126.6,72.34
124.65,72.13
122.82,71.8
120.93,71.09
119.1,70.14
117.31,69.42
115.57,69.06
113.89,68.66
112.26,68.17
110.67,67.76
109.12,67.43
107.61,67.06
106.15,66.57
104.74,65.96
103.36,65.34
102.03,64.78
100.73,64.08
99.47,63.3
98.24,62.63
